id,psgcCode,citymunDesc,regDesc,provCode,citymunCode
1,12801000,Adams,01,0128,012801
2,12802000,Bacarra,01,0128,012802
3,12803000,Badoc,01,0128,012803
4,12804000,Bangui,01,0128,012804
5,12805000,City Of Batac,01,0128,012805
6,12806000,Burgos,01,0128,012806
7,12807000,Carasi,01,0128,012807
8,12808000,Currimao,01,0128,012808
9,12809000,Dingras,01,0128,012809
10,12810000,Dumalneg,01,0128,012810
11,12811000,Banna (Espiritu),01,0128,012811
12,12812000,Laoag City (Capital),01,0128,012812
13,12813000,Marcos,01,0128,012813
14,12814000,Nueva Era,01,0128,012814
15,12815000,Pagudpud,01,0128,012815
16,12816000,Paoay,01,0128,012816
17,12817000,Pasuquin,01,0128,012817
18,12818000,Piddig,01,0128,012818
19,12819000,Pinili,01,0128,012819
20,12820000,San Nicolas,01,0128,012820
21,12821000,Sarrat,01,0128,012821
22,12822000,Solsona,01,0128,012822
23,12823000,Vintar,01,0128,012823
24,12901000,Alilem,01,0129,012901
25,12902000,Banayoyo,01,0129,012902
26,12903000,Bantay,01,0129,012903
27,12904000,Burgos,01,0129,012904
28,12905000,Cabugao,01,0129,012905
29,12906000,City Of Candon,01,0129,012906
30,12907000,Caoayan,01,0129,012907
31,12908000,Cervantes,01,0129,012908
32,12909000,Galimuyod,01,0129,012909
33,12910000,Gregorio Del Pilar (Concepcion),01,0129,012910
34,12911000,Lidlidda,01,0129,012911
35,12912000,Magsingal,01,0129,012912
36,12913000,Nagbukel,01,0129,012913
37,12914000,Narvacan,01,0129,012914
38,12915000,Quirino (Angkaki),01,0129,012915
39,12916000,Salcedo (Baugen),01,0129,012916
40,12917000,San Emilio,01,0129,012917
41,12918000,San Esteban,01,0129,012918
42,12919000,San Ildefonso,01,0129,012919
43,12920000,San Juan (Lapog),01,0129,012920
44,12921000,San Vicente,01,0129,012921
45,12922000,Santa,01,0129,012922
46,12923000,Santa Catalina,01,0129,012923
47,12924000,Santa Cruz,01,0129,012924
48,12925000,Santa Lucia,01,0129,012925
49,12926000,Santa Maria,01,0129,012926
50,12927000,Santiago,01,0129,012927
51,12928000,Santo Domingo,01,0129,012928
52,12929000,Sigay,01,0129,012929
53,12930000,Sinait,01,0129,012930
54,12931000,Sugpon,01,0129,012931
55,12932000,Suyo,01,0129,012932
56,12933000,Tagudin,01,0129,012933
57,12934000,City Of Vigan (Capital),01,0129,012934
58,13301000,Agoo,01,0133,013301
59,13302000,Aringay,01,0133,013302
60,13303000,Bacnotan,01,0133,013303
61,13304000,Bagulin,01,0133,013304
62,13305000,Balaoan,01,0133,013305
63,13306000,Bangar,01,0133,013306
64,13307000,Bauang,01,0133,013307
65,13308000,Burgos,01,0133,013308
66,13309000,Caba,01,0133,013309
67,13310000,Luna,01,0133,013310
68,13311000,Naguilian,01,0133,013311
69,13312000,Pugo,01,0133,013312
70,13313000,Rosario,01,0133,013313
71,13314000,City Of San Fernando (Capital),01,0133,013314
72,13315000,San Gabriel,01,0133,013315
73,13316000,San Juan,01,0133,013316
74,13317000,Santo Tomas,01,0133,013317
75,13318000,Santol,01,0133,013318
76,13319000,Sudipen,01,0133,013319
77,13320000,Tubao,01,0133,013320
78,15501000,Agno,01,0155,015501
79,15502000,Aguilar,01,0155,015502
80,15503000,City Of Alaminos,01,0155,015503
81,15504000,Alcala,01,0155,015504
82,15505000,Anda,01,0155,015505
83,15506000,Asingan,01,0155,015506
84,15507000,Balungao,01,0155,015507
85,15508000,Bani,01,0155,015508
86,15509000,Basista,01,0155,015509
87,15510000,Bautista,01,0155,015510
88,15511000,Bayambang,01,0155,015511
89,15512000,Binalonan,01,0155,015512
90,15513000,Binmaley,01,0155,015513
91,15514000,Bolinao,01,0155,015514
92,15515000,Bugallon,01,0155,015515
93,15516000,Burgos,01,0155,015516
94,15517000,Calasiao,01,0155,015517
95,15518000,Dagupan City,01,0155,015518
96,15519000,Dasol,01,0155,015519
97,15520000,Infanta,01,0155,015520
98,15521000,Labrador,01,0155,015521
99,15522000,Lingayen (Capital),01,0155,015522
100,15523000,Mabini,01,0155,015523
101,15524000,Malasiqui,01,0155,015524
102,15525000,Manaoag,01,0155,015525
103,15526000,Mangaldan,01,0155,015526
104,15527000,Mangatarem,01,0155,015527
105,15528000,Mapandan,01,0155,015528
106,15529000,Natividad,01,0155,015529
107,15530000,Pozorrubio,01,0155,015530
108,15531000,Rosales,01,0155,015531
109,15532000,San Carlos City,01,0155,015532
110,15533000,San Fabian,01,0155,015533
111,15534000,San Jacinto,01,0155,015534
112,15535000,San Manuel,01,0155,015535
113,15536000,San Nicolas,01,0155,015536
114,15537000,San Quintin,01,0155,015537
115,15538000,Santa Barbara,01,0155,015538
