sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxExempt,taxAlias,atc,officialAtcCode,natureOfIncome,sortOrder,status
PH-TAX-0001,Purchases,EWT,WB 030,WB 030 | Tax on carriers and keepers of garages,3,,,WB 030,WB 030,Tax on carriers and keepers of garages,,ACTIVE
PH-TAX-0002,Purchases,INPUT VAT,V3,Services,12,,,,,,60,ACTIVE
PH-TAX-0003,Sales,CWT,W0,Withholding Tax 0%,0,,,0,,,,ACTIVE
PH-TAX-0004,Importation,INPUT VAT,D0,Domestic Purchase of Goods,12,,,,,,,ACTIVE
PH-TAX-0005,Sales,WVAT,W0,Withholding Vatable Tax 0%,0,,,,,,,ACTIVE
PH-TAX-0006,Purchases,EWT,WI 840,"WI 840 | Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",0.5,,,WI 840,WI 840,"Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",,ACTIVE
PH-TAX-0007,Purchases,EWT,WC 840,"WC 840 | Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",0.5,,,WC 840,WC 840,"Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",,ACTIVE
PH-TAX-0008,Purchases,EWT,WI 850,"WI 850 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",0.5,,,WI 850,WI 850,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",,ACTIVE
PH-TAX-0009,Purchases,EWT,WC 850,"WC 850 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",0.5,,,WC 850,WC 850,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",,ACTIVE
PH-TAX-0010,Purchases,EWT,WC 860,"WC 860 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",0.5,,,WC 860,WC 860,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",,ACTIVE
PH-TAX-0011,Purchases,EWT,WI 860,"WI 860 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",0.5,,,WI 860,WI 860,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",,ACTIVE
PH-TAX-0012,Sales,OUTPUT VAT,V1,Output VAT,12,,,,,,10,ACTIVE
PH-TAX-0013,Sales,OUTPUT VAT,V0,VAT Exempt,0,TRUE,,,,,20,ACTIVE
PH-TAX-0014,Sales,CWT,W0.5,Withholding Tax 0.5%,0.5,,,W0.5,,,,ACTIVE
PH-TAX-0015,Sales,WVAT,W1,Withholding Vatable Tax 1%,1,,,,,,,ACTIVE
PH-TAX-0016,Importation,INPUT VAT,D1,Domestic Purchase of Services,12,,,,,,,ACTIVE
PH-TAX-0017,Sales,CWT,W1,Withholding Tax 1%,1,,g,WC 158,WC 158,Purchase of local goods,,ACTIVE
PH-TAX-0018,Purchases,INPUT VAT,V4,Capital Goods,12,,,,,,40,ACTIVE
PH-TAX-0019,Purchases,EWT,WB 040,WB 040 | Franchise Tax on Gas and Water Utilities,2,,,WB 040,WB 040,Franchise Tax on Gas and Water Utilities,,ACTIVE
PH-TAX-0020,Purchases,EWT,WB 050,WB 050 | Franchise Tax on radio & TV broadcasting companies whose annual gross receipts does not exceed P10M and who are not Value-Added Tax registered taxpayers,3,,,WB 050,WB 050,Franchise Tax on radio & TV broadcasting companies whose annual gross receipts does not exceed P10M and who are not Value-Added Tax registered taxpayers,,ACTIVE
PH-TAX-0021,Purchases,INPUT VAT,V5,Other than Capital Goods,12,,,,,,50,ACTIVE
PH-TAX-0022,Sales,CWT,W2,Withholding Tax 2%,2,,s,WC 120,WC 120,Prime contractor/subcontractors (supplier of services),,ACTIVE
PH-TAX-0023,Importation,INPUT VAT,D2,Importation of Goods,12,,,,,,,ACTIVE
PH-TAX-0024,Sales,WVAT,W2,Withholding Vatable Tax 2%,2,,,,,,,ACTIVE
PH-TAX-0025,Sales,OUTPUT VAT,V2,Zero Rated,0,,,,,,30,ACTIVE
PH-TAX-0026,Sales,WVAT,W5,Withholding Vatable Tax 5%,5,,,,,,,ACTIVE
PH-TAX-0027,Importation,INPUT VAT,D3,Domestic Purchase of Goods,12,,,,,,,ACTIVE
PH-TAX-0028,Sales,CWT,W5,Withholding Tax 5%,5,,r,WC 100,WC 100,Rental Fees,,ACTIVE
PH-TAX-0029,Purchases,INPUT VAT,V0,VAT Exempt,0,TRUE,,,,,30,ACTIVE
PH-TAX-0030,Purchases,EWT,WB 070,WB 070 | Tax on life insurance premiums,5,,,WB 070,WB 070,Tax on life insurance premiums,,ACTIVE
PH-TAX-0031,Purchases,EWT,WB 080,WB 080 | Person exempt from VAT under Sec. 109 (v) (Government withholding agent),3,,,WB 080,WB 080,Person exempt from VAT under Sec. 109 (v) (Government withholding agent),,ACTIVE
PH-TAX-0032,Purchases,INPUT VAT,V2,Zero Rated,0,,,,,,20,ACTIVE
PH-TAX-0033,Importation,INPUT VAT,V1,VAT Exempt,0,TRUE,,,,,,ACTIVE
PH-TAX-0034,Sales,WVAT,W10,Withholding Vatable Tax 10%,10,,,,,,,ACTIVE
PH-TAX-0035,Sales,CWT,W7,Withholding Tax 7%,7,,,WB 104,WB 104,"On net trading gains within the taxable year on foreign currency,debt securities, derivatives, and other financial instruments",,ACTIVE
PH-TAX-0036,Importation,INPUT VAT,V0,Zero-rated,0,,,,,,,ACTIVE
PH-TAX-0037,Sales,CWT,W10,Withholding Tax 10%,10,,,WC 140,WC 140,"Professional/talent fees paid to juridical persons/individuals (lawyers, CPAs, etc.)",,ACTIVE
PH-TAX-0038,Purchases,EWT,WB 082,WB 082 | Person exempt from VAT under Sec. 109 (v) (Private withholding agent),3,,,WB 082,WB 082,Person exempt from VAT under Sec. 109 (v) (Private withholding agent),,ACTIVE
PH-TAX-0039,Purchases,EWT,WB 084,WB 084 | Person exempt from VAT under Sec. 109 (v),3,,,WB 084,WB 084,Person exempt from VAT under Sec. 109 (v),,ACTIVE
PH-TAX-0040,Sales,CWT,W15,Withholding Tax 15%,15,,,WC015,WC 015,"Professional (Lawyers, CPAs, Engineers, etc.) - If gross income exceeds P720,000",,ACTIVE
PH-TAX-0041,Purchases,EWT,WB 090,"WB 090 | Tax on Overseas Dispatch, Message or Conversation originating from the Phils",10,,,WB 090,WB 090,"Tax on Overseas Dispatch, Message or Conversation originating from the Phils",,ACTIVE
PH-TAX-0042,Sales,CWT,W25,Withholding Tax 25%,25,,,WC 230,WC 230,All Others - On other payments to NRFC,,ACTIVE
PH-TAX-0043,Purchases,EWT,WB 103,"WB 103 | Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions - Tax on royalties, rentals of property, real or personal, profits from exchange & all other items treated as gross income under Section 32 of the Code",7,,,WB 103,WB 103,"Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions - Tax on royalties, rentals of property, real or personal, profits from exchange & all other items treated as gross income under Section 32 of the Code",,ACTIVE
PH-TAX-0044,Purchases,EWT,WB 104,"WB 104 | On net trading gains within the taxable year on foreign currency,debt securities, derivatives, and other financial instruments",7,,,WB 104,WB 104,"On net trading gains within the taxable year on foreign currency,debt securities, derivatives, and other financial instruments",,ACTIVE
PH-TAX-0045,Purchases,EWT,WB 108,"WB 108 | Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is five years or less",5,,,WB 108,WB 108,"Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is five years or less",,ACTIVE
PH-TAX-0046,Purchases,EWT,WB 109,"WB 109 | Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is more than five years",1,,,WB 109,WB 109,"Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is more than five years",,ACTIVE
